id_logradouro,logradouro,tipo_abrev,tipo,titulo_abrev,titulo,preposicao,nome
361682,RUA PADRE FRANCISCO RIBEIRO,R,RUA,PDE,PADRE,,FRANCISCO RIBEIRO
048690,RUA PADRE CHARTON,R,RUA,PDE,PADRE,,CHARTON
763608,RUA PADRE SILVERIO PARAOPEBA,R,RUA,PDE,PADRE,,SILVERIO PARAOPEBA
638935,RUA PADRE JOAQUIM CORREIA DE ALMEIDA,R,RUA,PDE,PADRE,,JOAQUIM CORREIA DE ALMEIDA
119962,RUA PADRE LORENZO ROSSI,R,RUA,PDE,PADRE,,LORENZO ROSSI
434655,TRAVESSA PADRE JOAO AUGUSTO MONTEIRO,TV,TRAVESSA,PDE,PADRE,,JOAO AUGUSTO MONTEIRO
278645,TRAVESSA PADRE FRANCISCO JORGE DO AMARAL,TV,TRAVESSA,PDE,PADRE,,FRANCISCO JORGE DO AMARAL
077097,RUA PADRE GALANTI,R,RUA,PDE,PADRE,,GALANTI
217050,RUA PADRE LANDELL DE MOURA,R,RUA,PDE,PADRE,,LANDELL DE MOURA
623296,RUA PADRE ALBERTO ROCCO,R,RUA,PDE,PADRE,,ALBERTO ROCCO
178918,RUA PADRE SAVINO AGAZZI,R,RUA,PDE,PADRE,,SAVINO AGAZZI
014745,RUA PADRE JOSE GRIECCO,R,RUA,PDE,PADRE,,JOSE GRIECCO
303240,RUA PADRE JOAO MARIA GORZONI,R,RUA,PDE,PADRE,,JOAO MARIA GORZONI
395846,PRACA PADRE MIGUEL RUA,PC,PRACA,PDE,PADRE,,MIGUEL RUA
142093,RUA PADRE MONTOYA,R,RUA,PDE,PADRE,,MONTOYA
303232,RUA PADRE MARCAL RODRIGUES,R,RUA,PDE,PADRE,,MARCAL RODRIGUES
361534,RUA PADRE CRISTOVAO CORDEIRO,R,RUA,PDE,PADRE,,CRISTOVAO CORDEIRO
361569,RUA PADRE ESTEVAO DE OLIVEIRA,R,RUA,PDE,PADRE,,ESTEVAO DE OLIVEIRA
432210,TRAVESSA PADRE ARMANDO ANGELO CREMONTI,TV,TRAVESSA,PDE,PADRE,,ARMANDO ANGELO CREMONTI
392154,PRACA PADRE SEPTIMIO RAMOS ARANTES,PC,PRACA,PDE,PADRE,,SEPTIMIO RAMOS ARANTES
769312,TRAVESSA PADRE JOSE DA SILVA OLIVEIRA ROLIM,TV,TRAVESSA,PDE,PADRE,,JOSE DA SILVA OLIVEIRA ROLIM
408336,PRACA PADRE JOSE KENTENICH,PC,PRACA,PDE,PADRE,,JOSE KENTENICH
104418,RUA PADRE JOAO RIBEIRO PESSOA,R,RUA,PDE,PADRE,,JOAO RIBEIRO PESSOA
082872,RUA PADRE GUALANDI,R,RUA,PDE,PADRE,,GUALANDI
009008,RUA PADRE ALVARO NEGROMONTE,R,RUA,PDE,PADRE,,ALVARO NEGROMONTE
003360,RUA PADRE AGOSTINHO PONCET,R,RUA,PDE,PADRE,,AGOSTINHO PONCET
413534,RUA PADRE DOMENICO,R,RUA,PDE,PADRE,,DOMENICO
361666,RUA PADRE JERONIMO MACHADO,R,RUA,PDE,PADRE,,JERONIMO MACHADO
150720,RUA PADRE ORLANDO NOGUEIRA,R,RUA,PDE,PADRE,,ORLANDO NOGUEIRA
137383,RUA PADRE MAURICIO,R,RUA,PDE,PADRE,,MAURICIO
152749,RUA PADRE PACHECO,R,RUA,PDE,PADRE,,PACHECO
024759,RUA PADRE ATILIO GARRET,R,RUA,PDE,PADRE,,ATILIO GARRET
129194,RUA PADRE MARCIGAGLIA,R,RUA,PDE,PADRE,,MARCIGAGLIA
124958,RUA PADRE MADUREIRA,R,RUA,PDE,PADRE,,MADUREIRA
NA,RUA PADRE MARIANO RINALDI,R,RUA,PDE,PADRE,,MARIANO RINALDI
114529,RUA PADRE JUSTINO LOMBARDI,R,RUA,PDE,PADRE,,JUSTINO LOMBARDI
185787,RUA PADRE TADDEI,R,RUA,PDE,PADRE,,TADDEI
116807,RUA PADRE LEAO PERUCHE,R,RUA,PDE,PADRE,,LEAO PERUCHE
640271,RUA PADRE ANTONIO MEROTH,R,RUA,PDE,PADRE,,ANTONIO MEROTH
700835,RUA PADRE LEOPOLDO BRENTANO,R,RUA,PDE,PADRE,,LEOPOLDO BRENTANO
218235,RUA PADRE ARNALDO DANTE,R,RUA,PDE,PADRE,,ARNALDO DANTE
007765,RUA PADRE ALMEIDA,R,RUA,PDE,PADRE,,ALMEIDA
166405,RUA PADRE PRIULI,R,RUA,PDE,PADRE,,PRIULI
220060,PRACA PADRE NELSON JOSE SIGRIST,PC,PRACA,PDE,PADRE,,NELSON JOSE SIGRIST
690899,RUA PADRE EDUARDO ROBERTO,R,RUA,PDE,PADRE,,EDUARDO ROBERTO
