id_osm,intersec,radar_proximo
8035459,7,FALSE
8035460,2,FALSE
8035461,7,FALSE
8035462,4,FALSE
8035463,5,FALSE
8035464,5,FALSE
8035465,1,FALSE
8035468,3,FALSE
8035469,2,FALSE
8035470,2,FALSE
8035471,2,FALSE
8035477,4,FALSE
8035478,4,FALSE
8035479,3,FALSE
8035481,3,FALSE
8035482,NA,FALSE
8035483,2,FALSE
8035489,5,FALSE
8035491,4,FALSE
8035492,3,FALSE
8035493,1,FALSE
8035494,2,FALSE
8035495,5,FALSE
8035496,4,FALSE
8035499,3,FALSE
8035501,11,FALSE
8035502,10,FALSE
8035503,4,FALSE
8035504,3,FALSE
8035505,3,FALSE
8035506,2,FALSE
8035507,5,FALSE
8035509,2,FALSE
8035510,4,FALSE
8035511,2,FALSE
8035512,4,FALSE
8035513,3,FALSE
8035514,4,FALSE
8035515,4,FALSE
8035516,1,FALSE
8035517,4,FALSE
8035520,3,FALSE
8035525,3,FALSE
8035527,2,FALSE
8035528,4,FALSE
8035529,3,FALSE
8035530,3,FALSE
8035531,2,FALSE
8035532,3,FALSE
8035553,6,FALSE
8035555,2,TRUE
8035556,3,FALSE
8035557,NA,FALSE
8035559,2,FALSE
8035560,4,FALSE
8035562,7,FALSE
8035563,4,FALSE
8035573,4,FALSE
8035575,1,FALSE
8035580,NA,FALSE
8035582,NA,FALSE
8035583,1,FALSE
8035584,NA,FALSE
8035587,5,FALSE
8035589,3,FALSE
8058572,2,FALSE
8089840,4,FALSE
8089841,2,FALSE
8089842,NA,FALSE
8089847,1,FALSE
8089848,2,FALSE
8089849,NA,FALSE
8090811,2,FALSE
8090812,NA,FALSE
8103462,2,FALSE
8103465,2,FALSE
8103468,4,FALSE
8103470,1,FALSE
8103471,4,FALSE
8103473,1,FALSE
8103480,5,FALSE
8103483,2,FALSE
8103485,2,FALSE
8105590,4,FALSE
8105591,1,FALSE
8116450,3,FALSE
8140174,2,FALSE
8140176,NA,FALSE
8140178,2,FALSE
8140180,NA,FALSE
8140181,NA,FALSE
8140183,NA,FALSE
8140594,NA,FALSE
8140595,NA,FALSE
8140734,NA,FALSE
8140737,NA,FALSE
8140738,NA,FALSE
8140740,NA,FALSE
8140927,6,TRUE
8140928,NA,TRUE
8140929,1,FALSE
8140930,3,TRUE
8140931,1,FALSE
8143762,4,FALSE
8148321,2,FALSE
8148325,NA,FALSE
8148329,NA,FALSE
8148347,1,FALSE
8148885,2,FALSE
8149120,NA,TRUE
8149370,2,FALSE
8149371,NA,FALSE
8149372,NA,FALSE
8149373,2,FALSE
8149387,3,FALSE
8149427,1,FALSE
8149966,5,FALSE
8149981,2,FALSE
8149983,6,TRUE
8149984,1,FALSE
8149985,2,FALSE
8151658,7,TRUE
8151659,1,FALSE
8151660,4,FALSE
8151665,4,FALSE
8151666,3,FALSE
8151667,7,FALSE
8151668,1,FALSE
8151671,NA,FALSE
8151678,5,FALSE
8152620,2,FALSE
8154236,2,FALSE
8154241,9,FALSE
8154721,4,FALSE
8154722,1,FALSE
8154723,2,FALSE
8154724,1,FALSE
8169106,5,FALSE
8169112,3,FALSE
8169119,4,FALSE
