ano,mes,tipo_veiculo,frota
2017,9,ciclomotor,3802
2017,8,utilitario,116243
2017,8,motocicleta,914506
2017,6,motocicleta,909534
2017,6,semi-reboque,37737
2017,8,chassi plataforma,194
2018,2,onibus,44595
2018,1,motoneta,155490
2018,1,side-car,91
2018,3,utilitario,122266
2018,2,caminhonete,481772
2003,7,caminhao,115742
2003,10,side-car,56
2003,7,triciclo,113
2003,9,automovel,3342903
2003,10,motocicleta,281828
2003,7,micro-onibus,27130
2003,7,semi-reboque,19530
2003,9,trator rodas,1492
2003,7,trator esteira,4
2003,8,caminhao trator,12081
2019,2,automovel,5754657
2019,3,caminhao trator,28106
2019,3,chassi plataforma,198
2007,4,side-car,79
2007,5,motocicleta,458585
2007,2,motocicleta,438424
2007,3,micro-onibus,26713
2007,5,micro-onibus,26762
2007,5,caminhao trator,15028
2007,2,chassi plataforma,798
2007,4,chassi plataforma,824
2018,5,outros,759
2018,4,motoneta,158062
2018,4,triciclo,1148
2018,4,utilitario,123323
2018,4,trator rodas,3229
2018,7,trator rodas,3231
2019,7,bonde,8
2019,6,reboque,52975
2019,5,triciclo,1251
2019,6,ciclomotor,4114
2019,7,caminhonete,510170
2019,6,motocicleta,985953
2019,7,micro-onibus,39321
2019,7,semi-reboque,39310
2014,5,bonde,8
2014,4,onibus,41725
2014,6,ciclomotor,3032
2014,3,semi-reboque,34461
2017,11,side-car,91
2017,10,automovel,5569626
2017,12,caminhonete,479151
2017,11,motocicleta,921935
2023,1,automovel,6102795
2023,1,triciclo,1692
2015,4,onibus,43040
2015,3,caminhao,120978
2015,4,triciclo,862
2015,2,utilitario,88623
2015,4,quadriciclo,21
2015,4,micro-onibus,36559
2015,4,trator rodas,3056
2015,4,chassi plataforma,202
2004,5,bonde,17
2004,3,utilitario,3959
2004,4,caminhonete,116845
2004,6,quadriciclo,26
2004,4,semi-reboque,19607
2004,3,trator esteira,3
2009,6,onibus,39161
2009,7,motoneta,82753
2009,8,side-car,85
2009,6,automovel,4373668
2009,5,automovel,4348247
2009,8,automovel,4411527
2009,5,micro-onibus,29382
2009,8,trator rodas,2200
2009,6,trator rodas,2164
2009,5,trator esteira,7
2020,7,outros,884
2020,6,reboque,55051
2020,5,caminhao,136464
2020,6,caminhao,136870
2020,6,automovel,5914913
2020,7,camioneta,493201
2020,8,camioneta,494288
2020,7,ciclomotor,4241
2020,5,ciclomotor,4212
2020,8,caminhonete,532382
2020,6,motocicleta,1025280
2020,7,semi-reboque,40816
2020,5,semi-reboque,40250
2020,8,trator rodas,3392
2020,5,caminhao trator,29855
2020,6,chassi plataforma,201
2022,10,side-car,93
2022,10,camioneta,517692
2022,7,caminhonete,559056
2022,9,caminhonete,561725
2022,7,quadriciclo,49
2022,9,trator esteira,5
2005,8,caminhao,120686
2005,6,motoneta,50414
2005,7,triciclo,184
2005,7,ciclomotor,2447
2005,5,caminhonete,145122
2005,7,motocicleta,342027
2005,7,micro-onibus,26356
2005,7,semi-reboque,21012
2005,5,chassi plataforma,710
2015,7,bonde,8
2015,8,bonde,8
2015,5,onibus,43138
2015,6,onibus,43206
2015,7,camioneta,394302
2015,8,utilitario,94579
2015,7,micro-onibus,37006
2015,5,micro-onibus,36723
2015,8,trator rodas,3101
2015,6,caminhao trator,21988
2022,6,reboque,58251
2022,6,caminhao,143049
2022,5,ciclomotor,4842
2022,6,trator esteira,5
2022,4,chassi plataforma,201
2014,1,bonde,8
2014,2,outros,362
2014,1,triciclo,767
2014,1,ciclomotor,2994
2014,2,trator esteira,4
2020,11,bonde,8
2020,9,onibus,48728
2020,9,reboque,55827
2020,11,motoneta,185023
2020,11,trator rodas,3423
2020,12,trator esteira,5
2020,9,caminhao trator,31024
2017,2,onibus,44084
2017,5,side-car,91
2017,4,automovel,5489155
2017,5,ciclomotor,3679
2017,2,quadriciclo,21
2017,2,semi-reboque,37290
2009,4,outros,232
2009,1,side-car,87
2009,3,automovel,4309653
2009,3,caminhonete,313648
2009,1,quadriciclo,24
2011,8,bonde,9
2011,7,caminhao,126094
2011,7,motoneta,97128
2011,5,triciclo,587
2011,6,camioneta,297350
2011,8,utilitario,49848
2011,7,utilitario,48975
2011,6,caminhonete,361777
2011,5,semi-reboque,30837
2014,11,bonde,8
2014,10,bonde,8
2014,10,onibus,42564
2014,10,caminhao,118744
2014,11,automovel,5147933
2014,11,utilitario,85736
2014,10,utilitario,84676
2014,10,motocicleta,827587
2014,12,micro-onibus,35870
2014,10,semi-reboque,35265
2014,11,chassi plataforma,206
2013,1,caminhao,118430
2013,1,automovel,4851293
2013,1,quadriciclo,22
2013,1,semi-reboque,33157
2021,6,outros,896
2021,6,caminhao,139986
2021,8,camioneta,498746
2021,5,camioneta,496622
2021,7,utilitario,176243
2021,5,utilitario,173560
2021,5,semi-reboque,42942
2021,7,trator rodas,3521
2021,6,trator esteira,5
2021,6,caminhao trator,32585
2010,6,bonde,12
2010,10,bonde,11
2010,8,reboque,40294
2010,6,reboque,40151
2010,8,caminhao,130713
2010,10,side-car,86
2010,7,triciclo,498
2010,10,ciclomotor,2541
2010,9,utilitario,41434
2010,10,utilitario,42096
2010,8,quadriciclo,22
2010,10,micro-onibus,31264
2010,6,micro-onibus,31011
2010,6,trator esteira,4
2006,10,outros,250
2006,10,utilitario,12143
2006,8,utilitario,11398
2006,7,quadriciclo,24
2006,10,micro-onibus,26726
2006,8,micro-onibus,26656
2006,8,semi-reboque,21503
2006,8,trator esteira,6
2006,9,caminhao trator,14461
2006,9,chassi plataforma,788
2007,1,utilitario,13461
2007,1,motoneta,58932
2023,12,automovel,6237367
2023,12,outros,1160
2015,9,automovel,5292832
2015,10,motocicleta,861561
2015,9,quadriciclo,21
2015,9,semi-reboque,36231
2005,10,onibus,34160
2005,10,motoneta,51200
2005,11,triciclo,186
2005,12,automovel,3612574
2005,12,motocicleta,365025
2005,9,quadriciclo,24
2005,12,caminhao trator,13532
2005,12,chassi plataforma,748
2005,11,chassi plataforma,745
2009,10,onibus,39030
2009,10,reboque,39323
2009,9,motoneta,83909
2009,9,side-car,85
2009,10,motocicleta,645365
2009,10,quadriciclo,22
2009,11,micro-onibus,29996
2016,7,outros,588
2016,5,caminhao,125683
2016,5,motoneta,141688
2016,8,automovel,5410433
2016,8,camioneta,417800
2016,8,caminhonete,456541
2016,7,motocicleta,883221
2016,6,caminhao trator,24011
2016,8,chassi plataforma,196
2013,8,bonde,7
2013,8,onibus,40878
2013,11,motoneta,115915
2013,11,triciclo,763
2013,9,automovel,4940944
2013,8,trator rodas,2975
2005,1,bonde,17
2005,1,motocicleta,321677
2009,12,chassi plataforma,419
2009,12,onibus,39049
2021,12,automovel,5973326
2019,1,micro-onibus,38707
2019,1,chassi plataforma,191
2015,12,onibus,43332
2015,12,ciclomotor,3200
2020,1,utilitario,151731
2017,1,caminhonete,462727
2017,1,motoneta,146466
2013,12,side-car,89
2013,12,caminhao trator,18862
2013,12,motoneta,116516
2013,12,motocicleta,799411
2015,1,micro-onibus,36044
2016,1,chassi plataforma,195
2022,2,reboque,57357
2022,1,reboque,59482
2019,10,automovel,5855944
2011,1,triciclo,558
2011,10,reboque,41763
2012,9,onibus,41026
2012,8,reboque,42741
2012,9,caminhao,120728
2012,9,trator rodas,2917
2012,7,trator rodas,2909
2016,11,bonde,8
2016,11,side-car,91
2016,11,automovel,5438531
2016,12,semi-reboque,37255
2003,6,side-car,36
2003,6,triciclo,110
2003,4,ciclomotor,2228
2003,4,quadriciclo,26
2003,4,trator rodas,1476
2003,5,caminhao trator,11972
2004,1,side-car,62
2004,1,micro-onibus,26862
2004,1,trator rodas,1498
2004,2,caminhao trator,12046
2010,1,reboque,39748
2010,2,side-car,86
2010,2,ciclomotor,2573
2010,2,quadriciclo,22
2010,2,trator esteira,4
2010,2,caminhao trator,17791
2019,11,reboque,53989
2019,11,motoneta,175479
2019,12,side-car,91
2019,11,triciclo,1282
2019,11,ciclomotor,4173
2019,11,quadriciclo,41
2019,12,caminhao trator,29530
2019,11,caminhao trator,29438
2018,8,outros,847
