id_osm_radar,limite_velocidade,limite_velocidade_pesados,geometry
2768032128,50,NA,"c(-46.5935873, -23.5444954)"
3077513375,80,NA,"c(-46.5631382, -23.6956568)"
3137625969,60,NA,"c(-46.5302139, -23.7744813)"
3156575647,70,NA,"c(-46.5984517, -23.6262314)"
3200928283,40,NA,"c(-46.5474077, -23.655934)"
3200928284,40,NA,"c(-46.5474991, -23.6559795)"
3347640599,50,NA,"c(-46.6394782, -23.5799038)"
3617696437,50,NA,"c(-46.7762165, -23.4104226)"
3838912809,80,NA,"c(-46.4645242, -23.9018394)"
3890672459,50,NA,"c(-46.6507051, -23.5663398)"
3927511439,40,NA,"c(-46.8082253, -23.510526)"
3927511561,100,NA,"c(-46.8180442, -23.5350677)"
3927511566,100,NA,"c(-46.8197506, -23.552471)"
3927511567,100,NA,"c(-46.8180791, -23.5668218)"
3927511576,100,80,"c(-46.8141201, -23.6069187)"
3927511578,NA,NA,"c(-46.8238567, -23.6679158)"
3927511579,100,80,"c(-46.8241297, -23.6795212)"
3927511580,100,80,"c(-46.8141648, -23.7011401)"
3927511581,100,80,"c(-46.811646, -23.7171291)"
3927511582,80,NA,"c(-46.7721564, -23.7632031)"
3927511583,60,NA,"c(-46.7624152, -23.7847803)"
3927511585,100,80,"c(-46.744553, -23.7989071)"
3927511586,100,80,"c(-46.6686304, -23.8007513)"
3927511587,100,80,"c(-46.7344277, -23.8027312)"
3927511588,NA,NA,"c(-46.6801209, -23.8075577)"
3927511630,120,90,"c(-46.5720052, -23.8705652)"
3927511631,100,NA,"c(-46.563374, -23.8955872)"
3927511632,100,80,"c(-46.5619436, -23.8986894)"
3927511660,80,60,"c(-46.4303534, -23.9288407)"
3927511661,80,60,"c(-46.4217774, -23.9392663)"
3927511662,80,60,"c(-46.4207138, -23.9406527)"
3927511663,80,60,"c(-46.4166798, -23.9459563)"
3995662294,50,NA,"c(-46.7179715, -23.570284)"
3995681937,50,NA,"c(-46.740306, -23.5706363)"
3996722010,50,NA,"c(-46.7373683, -23.5732226)"
3997843207,50,NA,"c(-46.7196362, -23.5711152)"
4090403555,50,NA,"c(-46.7174922, -23.5059949)"
4176896110,50,NA,"c(-46.6252404, -23.5152259)"
4176896112,50,NA,"c(-46.6249905, -23.5152371)"
4256193559,40,NA,"c(-46.7251005, -23.5287234)"
4293359800,60,NA,"c(-46.5592304, -23.6904496)"
4345292574,50,NA,"c(-46.7072686, -23.5569485)"
4348880261,50,NA,"c(-46.7019065, -23.5898479)"
4356762544,40,NA,"c(-46.5665913, -23.6919909)"
4370463043,40,NA,"c(-46.6318988, -23.5950398)"
4395389111,50,NA,"c(-46.6381739, -23.5406608)"
4395389112,50,NA,"c(-46.6380899, -23.5407584)"
4418028923,50,NA,"c(-46.7573974, -23.5685235)"
4433677050,NA,NA,"c(-46.7745641, -23.63392)"
4489649002,60,NA,"c(-46.5648444, -23.5271589)"
4495115743,40,NA,"c(-46.3659103, -23.5308914)"
4499522791,50,NA,"c(-46.5763094, -23.5619181)"
4613365188,50,NA,"c(-46.5660996, -23.71147)"
4639827596,50,NA,"c(-46.6791812, -23.5207914)"
4757137127,30,NA,"c(-46.8011909, -23.6749554)"
4900383803,50,NA,"c(-46.6559112, -23.4915325)"
4933300954,40,NA,"c(-46.7068956, -23.5256988)"
4953881408,40,NA,"c(-46.614318, -23.525313)"
4953881409,90,60,"c(-46.6114882, -23.5234092)"
4953894862,50,NA,"c(-46.606013, -23.5110199)"
5012977655,40,NA,"c(-46.4062943, -23.427937)"
5146029179,40,NA,"c(-46.5921653, -23.7160679)"
5197107530,50,NA,"c(-46.5705056, -23.6608834)"
5220484968,50,NA,"c(-46.602644, -23.6022864)"
5220498744,50,NA,"c(-46.6017712, -23.6169804)"
5233398682,50,NA,"c(-46.6304624, -23.5244435)"
5298169821,50,NA,"c(-46.6060774, -23.5118336)"
5321049900,40,NA,"c(-46.7354178, -23.6166556)"
5366941318,40,NA,"c(-46.6074345, -23.536462)"
5425400037,50,NA,"c(-46.5949716, -23.5158351)"
5425400042,50,NA,"c(-46.5951948, -23.5155038)"
5427592856,50,NA,"c(-46.6823284, -23.5654217)"
5437502608,40,NA,"c(-46.5986968, -23.4995169)"
5437502612,50,NA,"c(-46.6034589, -23.5036746)"
5437502613,50,NA,"c(-46.6181637, -23.5025253)"
5437502614,50,NA,"c(-46.6197907, -23.503191)"
5437502615,50,NA,"c(-46.6152627, -23.5065689)"
5437502616,50,NA,"c(-46.6153648, -23.5064903)"
5437768914,50,NA,"c(-46.6253697, -23.5273752)"
5437770221,50,NA,"c(-46.6257216, -23.5306042)"
5437770222,50,NA,"c(-46.6260797, -23.5319252)"
5437770223,50,NA,"c(-46.6250753, -23.5345579)"
5437770224,50,NA,"c(-46.6322825, -23.5325452)"
5437770225,50,NA,"c(-46.6337185, -23.5367432)"
5437962707,50,NA,"c(-46.5896074, -23.5183446)"
5437962708,50,NA,"c(-46.5896566, -23.5181624)"
5437962709,40,NA,"c(-46.5875506, -23.5093505)"
5437962710,40,NA,"c(-46.5876062, -23.5095011)"
5437962711,40,NA,"c(-46.5877418, -23.4992666)"
5437962712,40,NA,"c(-46.587523, -23.4989773)"
5440099811,50,NA,"c(-46.6873503, -23.523151)"
5440099815,50,NA,"c(-46.6837192, -23.5243038)"
5440100122,50,NA,"c(-46.6826344, -23.5270034)"
5440100123,50,NA,"c(-46.6827781, -23.5270135)"
5440100124,50,NA,"c(-46.682132, -23.5265244)"
5443581563,40,NA,"c(-46.4481054, -23.53266)"
5446138726,60,50,"c(-46.613468, -23.5205969)"
5446138727,70,60,"c(-46.6135599, -23.5207124)"
5446138728,90,60,"c(-46.6136468, -23.52082)"
5446138729,50,NA,"c(-46.5845077, -23.5168788)"
5446138742,60,50,"c(-46.5956327, -23.5267556)"
5446138743,70,60,"c(-46.5956841, -23.5268585)"
5446138755,60,NA,"c(-46.5991672, -23.526907)"
5446138756,70,60,"c(-46.5988532, -23.5269998)"
5446138757,90,60,"c(-46.5987146, -23.5269057)"
5446635511,50,NA,"c(-46.6312749, -23.5257684)"
5446635512,50,NA,"c(-46.6311743, -23.5257766)"
5446635513,50,NA,"c(-46.6310195, -23.5263348)"
5446635515,40,NA,"c(-46.6347145, -23.5382686)"
5446635516,50,NA,"c(-46.6323492, -23.5395208)"
5446635517,50,NA,"c(-46.629241, -23.540456)"
5446635520,50,NA,"c(-46.6282281, -23.541777)"
5448240765,50,NA,"c(-46.582953, -23.5351717)"
5448240766,50,NA,"c(-46.5830758, -23.535189)"
5448240767,50,NA,"c(-46.5826572, -23.5353657)"
5448240768,50,NA,"c(-46.5827678, -23.535386)"
5448271942,50,NA,"c(-46.6185172, -23.5524464)"
5448271943,50,NA,"c(-46.6186984, -23.5525995)"
5448485118,70,60,"c(-46.6367771, -23.5192931)"
5448487563,40,NA,"c(-46.5816201, -23.4949266)"
5448487565,40,NA,"c(-46.5811108, -23.4949622)"
5448920681,40,NA,"c(-46.6446823, -23.5156296)"
5452346181,50,NA,"c(-46.5492598, -23.4861142)"
5452346202,40,NA,"c(-46.5672563, -23.4803248)"
5452346205,40,NA,"c(-46.5797339, -23.4836333)"
5452346214,40,NA,"c(-46.5830295, -23.4852115)"
