logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
TRAVESSA CARLOS MONTUORI,NA,NA,NA,asphalt,residential,64.4545509739451
TRAVESSA CARLOS PADOIM,NA,NA,NA,NA,service,32.40902059868109
TRAVESSA CARLOS PEPPE,NA,NA,NA,NA,residential,86.63400801957431
TRAVESSA CARLOS RAMIREZ,NA,NA,NA,NA,service,39.6015189366865
TRAVESSA CARLOS RANUCCI,NA,NA,NA,NA,residential,128.7000426827193
TRAVESSA CARLOS ROCHA DE SIQUEIRA,NA,NA,NA,paved,residential,40.42414603673603
TRAVESSA CARLOS SALZEDO,NA,NA,NA,NA,residential,195.8745717478156
TRAVESSA CARLOS SENO,NA,NA,NA,NA,residential,47.19540105266222
TRAVESSA CARLOS VASCONCELOS MAIA,NA,20,yes,asphalt,residential,119.37585477575236
TRAVESSA CARLOS VEGAS,NA,NA,NA,NA,service,36.26945350117416
TRAVESSA CARLOS VILALVA JUNIOR,NA,NA,NA,NA,service,110.38203976241627
TRAVESSA CARLOS ZEFIRO,NA,NA,NA,NA,residential,123.76073076722129
TRAVESSA CARLOTA COELHO DA SILVA,NA,NA,NA,NA,service,115.1912283098109
TRAVESSA CARLOTA MENA,NA,NA,NA,NA,service,191.87062159283516
TRAVESSA CARMANOR,NA,NA,NA,sett,service,98.04277728026385
TRAVESSA CARMELINDA MARQUES PEREIRA,NA,NA,NA,asphalt,residential,99.8802992631347
TRAVESSA CARMEM JONES,NA,NA,no,NA,residential,149.40554772145043
TRAVESSA CARMEM MIRANDA,NA,NA,NA,asphalt,residential,121.17241042775758
TRAVESSA CARMINO GALLONE,NA,NA,NA,asphalt,residential,98.16213911296967
TRAVESSA CARNAVAL DE VENEZA,NA,NA,NA,asphalt,residential,142.0132630132026
TRAVESSA CARNEIRO,NA,NA,NA,asphalt,residential,119.55769278784126
TRAVESSA CARNEIRO RODRIGUES,NA,NA,NA,NA,residential,46.41309232914952
TRAVESSA CAROLINA CABREIRA DE FRANCA,NA,NA,NA,asphalt,residential,119.04714133332054
TRAVESSA CAROLINA DE SOUZA LOPES,NA,NA,NA,NA,residential,128.5253267212196
TRAVESSA CAROLINA FERNI,NA,NA,no,asphalt,residential,44.84673474510881
TRAVESSA CAROLINE MICHAELIS,NA,NA,NA,asphalt,residential,69.40697369847173
TRAVESSA CARPANI,NA,NA,NA,NA,service,86.36057607851173
TRAVESSA CARPINTEIRO DO UNIVERSO,NA,NA,NA,NA,residential,63.2476278586454
TRAVESSA CARTA DE ALFORIA,2,NA,NA,NA,residential,377.43208407890563
TRAVESSA CARTUM,NA,NA,NA,NA,residential,604.2510389194548
TRAVESSA CARUARU,NA,NA,NA,NA,service,83.583053590077
TRAVESSA CARURU,NA,NA,NA,NA,residential,116.69705733139226
TRAVESSA CARVALHO DO MAR,NA,NA,no,NA,residential,253.41366153652544
TRAVESSA CASA NOBRE,NA,NA,yes,NA,service,121.18956724780229
TRAVESSA CASALBUONO,NA,40,yes,asphalt,service,310.32624561117643
TRAVESSA CASCA PRECIOSA,NA,NA,no,NA,residential,158.5328565030658
TRAVESSA CASIMIRO DE ABREU,NA,NA,NA,NA,residential,33.6848268804818
TRAVESSA CASIMIRO RADICE,NA,NA,NA,asphalt,residential,200.2186374785884
TRAVESSA CASSIAIMPERIAL,NA,NA,NA,NA,service,63.97742049299137
TRAVESSA CASSUNUNGA,NA,NA,no,asphalt,residential,158.37355157473857
TRAVESSA CASTANHA DO PARA,NA,NA,no,asphalt,residential,283.0081011668549
TRAVESSA CASTEL,NA,NA,NA,NA,service,93.3476691619694
TRAVESSA CASTELO BRANCO,NA,NA,NA,NA,residential,109.09520992342672
TRAVESSA CASTRO,NA,NA,NA,NA,residential,197.9626456843649
TRAVESSA CASTRO ALVES,NA,NA,NA,paved,residential,153.8480419159226
TRAVESSA CASTRO PRADO,NA,NA,NA,NA,service,162.57338233820334
TRAVESSA CATARINA CIBO,NA,NA,NA,paved,service,37.01812398499195
TRAVESSA CATARINA VAZEM,NA,NA,NA,NA,residential,52.67972141670382
TRAVESSA CATHARINA BARROCA,NA,NA,NA,paved,residential,47.75731957645831
TRAVESSA CATOLE,NA,NA,NA,NA,residential,58.18741465930911
TRAVESSA CATUMBI,NA,NA,NA,NA,residential,55.57680541913881
TRAVESSA CAVALEIROS DA CONCORDIA,NA,NA,NA,NA,residential,250.2129133062797
TRAVESSA CAVALHEIRO,1,NA,yes,sett,residential,100.02531378433108
TRAVESSA CAVALINHO BRANCO,NA,NA,NA,NA,residential,148.53744861752372
TRAVESSA CAXIMBO,NA,NA,NA,NA,residential,141.768975708747
TRAVESSA CECILIA MEIRELLES,NA,NA,NA,NA,residential,47.80597836114951
TRAVESSA CECILIA MORAIS,NA,NA,NA,NA,service,224.85617589899257
TRAVESSA CECILIA RIVES,NA,NA,NA,asphalt,residential,82.05906625420553
TRAVESSA CECILIO BAEZ,NA,NA,NA,NA,residential,365.30196858573146
TRAVESSA CEDRO DE SAO JOAO,NA,20,NA,asphalt,residential,149.43603960012257
TRAVESSA CELESTE RODRIGUES MARTINS,NA,NA,NA,paved,residential,95.33304818240606
TRAVESSA CELESTINO NASCIMENTO SANTOS,NA,NA,NA,paved,residential,64.28882584741102
TRAVESSA CELESTINO PIAGGIO,NA,NA,NA,NA,service,31.322039382961382
TRAVESSA CELESTINO SAROBE,NA,NA,NA,NA,residential,58.072449402724395
TRAVESSA CELSO ALEXANDRE CASSONI,NA,NA,NA,asphalt,residential,97.06046148316743
TRAVESSA CELSO BARONI,NA,NA,NA,asphalt,residential,164.58540199586992
TRAVESSA CELSO HERMINIO PEREIRA,NA,NA,NA,asphalt,residential,150.34566270600243
TRAVESSA CENTAUREA MAIOR,NA,NA,no,asphalt,residential,102.3708590623513
TRAVESSA CENTER NORTE,NA,NA,NA,NA,service,15.465482580253086
TRAVESSA CENTER SUL,NA,NA,NA,NA,service,57.54244115090623
TRAVESSA CERVANTES,NA,NA,NA,asphalt,residential,80.14572873247141
TRAVESSA CESAR BARISON,NA,NA,NA,NA,service,32.3781156907708
TRAVESSA CESAR CAMURRI,NA,NA,NA,NA,residential,72.78551945853276
TRAVESSA CESAR PEDRON,NA,NA,NA,NA,residential,146.94756772819366
TRAVESSA CESARE CRIVELLATI,NA,NA,NA,asphalt,residential,142.98730958341395
TRAVESSA CEU VAZIO,NA,NA,NA,NA,residential,71.10327507112036
TRAVESSA CEZAR LIRIO DE OLIVEIRA,NA,NA,NA,NA,residential,224.60518009168732
TRAVESSA CEZARE ZOILO,NA,NA,NA,NA,residential,92.63903395670104
TRAVESSA CHADY MURADI,NA,NA,NA,asphalt,residential,174.54241249133244
TRAVESSA CHALANA,NA,NA,yes,NA,residential,414.6149992645908
TRAVESSA CHAPADA DO ARARIPE,NA,NA,NA,NA,service,36.67076026390425
TRAVESSA CHAPADINHA,NA,NA,NA,asphalt,residential,104.82135597205009
TRAVESSA CHAPECO,NA,NA,NA,NA,residential,49.25286160747126
TRAVESSA CHARLES ADAM,NA,NA,NA,NA,residential,76.19400924665625
TRAVESSA CHARLES BARKLA,NA,NA,NA,asphalt,residential,55.29341788757923
TRAVESSA CHARLES DUCANGE,NA,NA,NA,paved,residential,67.30116629451244
TRAVESSA CHARLES GOBAT,NA,NA,NA,NA,residential,127.284791761261
TRAVESSA CHARLES LEBRUN,NA,NA,NA,asphalt,residential,99.1884021529773
TRAVESSA CHARLES PECHON,NA,NA,NA,asphalt,residential,89.19553221588775
TRAVESSA CHAVES 1,NA,NA,NA,dirt,service,175.64834870764668
TRAVESSA CHAVES 2,NA,NA,NA,NA,service,134.2809873194883
TRAVESSA CHICO CHABBOUH,NA,NA,NA,concrete,residential,261.2757682163747
TRAVESSA CHICO MARIO,NA,NA,NA,asphalt,residential,61.877375924133084
TRAVESSA CHICO MENDES,NA,NA,NA,NA,residential,76.19781705067606
TRAVESSA CHUPIM,NA,NA,NA,NA,residential,246.9315649332161
TRAVESSA CHUVA DE OURO,NA,NA,NA,NA,residential,82.54672483266955
TRAVESSA CHUVA DE SETEMBRO,NA,NA,NA,asphalt,service,117.66570798375533
TRAVESSA CIA DO JABUTI,NA,NA,NA,NA,residential,118.96881854896978
TRAVESSA CICERO DO NASCIMENTO CHAVES,NA,NA,NA,NA,residential,185.0951384291385
TRAVESSA CICERO MENDES,NA,NA,yes,asphalt,residential,183.19847663576468
TRAVESSA CICERO MOURA DOS SANTOS,NA,NA,NA,NA,residential,53.41036215852081
TRAVESSA CID AKAOUI VIANNA,NA,NA,NA,paved,residential,58.167308227847386
TRAVESSA CIDADE COLONIAL,NA,NA,yes,NA,residential,56.573082085035935
TRAVESSA CIDADE GAUCHA,NA,NA,NA,asphalt,residential,258.0426313114234
TRAVESSA CIMARRON,NA,NA,NA,paved,residential,71.62035494616136
TRAVESSA CINCO,NA,NA,NA,NA,service,53.906099465896375
TRAVESSA CINCO DE MAIO,NA,NA,NA,NA,service,271.3807347147709
TRAVESSA CINTIA,NA,NA,NA,asphalt,residential,47.58054925598035
TRAVESSA CIRANDA,NA,NA,NA,asphalt,service,63.27871291634544
TRAVESSA CIRELE,NA,20,NA,asphalt,residential,41.50228221503229
TRAVESSA CIRILO CASTEX,NA,NA,NA,NA,service,46.81217539339111
TRAVESSA CIRO ADOLFI,NA,NA,NA,asphalt,residential,57.710608477428735
TRAVESSA CIRO AZEVEDO,NA,NA,NA,asphalt,service,45.19392625815201
TRAVESSA CISPLATINA,NA,30,yes,asphalt,residential,275.8498482101559
TRAVESSA CITRINO,NA,NA,NA,NA,service,56.698040458285085
TRAVESSA CIZANEA,NA,NA,NA,NA,residential,302.2578449671861
TRAVESSA CLAUDIO ARMANDO,NA,NA,yes,NA,residential,153.50337553101767
TRAVESSA CLAUDIO GODIMEL,NA,NA,NA,NA,residential,82.19820291739276
TRAVESSA CLAUDIO RAMOS AMAZONAS,NA,NA,NA,NA,residential,49.468487108975076
TRAVESSA CLAUDIO SANCHEZ ALBORNOZ,NA,NA,no,asphalt,residential,356.1868934694213
TRAVESSA CLAUDIO VILLAS BOAS,1,NA,NA,asphalt,residential,124.43794138444967
TRAVESSA CLAUDIONOR FIALHO DE SOUZA FILHO,NA,NA,NA,NA,residential,58.07183213568869
TRAVESSA CLELIA FREIRE,NA,NA,NA,NA,service,118.92544751114734
TRAVESSA CLEMENCIA,NA,NA,NA,NA,service,54.586356604293464
TRAVESSA CLEMENTE FERREIRA,NA,NA,NA,NA,residential,179.76423820080558
TRAVESSA CLEODON SILVA,NA,NA,NA,NA,residential,39.92163077203892
TRAVESSA CLEOMEDES,NA,NA,NA,NA,residential,21.24870571409822
TRAVESSA CLETO DA SILVA,NA,NA,NA,NA,residential,132.15325574076007
TRAVESSA CLIMENE,NA,NA,NA,NA,service,74.78687341967792
TRAVESSA CLIVEA,NA,NA,NA,NA,service,106.32389826011158
TRAVESSA CLIVIA,NA,NA,NA,NA,residential,79.55506130180247
TRAVESSA CLODOMIRO RAMOS,NA,NA,NA,asphalt,residential,85.72043401735502
TRAVESSA CLORINDA,NA,NA,NA,NA,residential,47.071269032678224
TRAVESSA CLOVIS FIUZA,NA,NA,NA,asphalt,service,114.70496837011443
TRAVESSA COATIMIRIM,NA,NA,NA,asphalt,service,114.11714823803295
TRAVESSA COBRODO,NA,NA,yes,paved,residential,66.3322166506994
TRAVESSA COLEIRINHA,NA,NA,NA,paved,service,99.39877699727255
TRAVESSA COLEIRO DO BREJO,NA,NA,NA,NA,residential,119.03106183298155
TRAVESSA COLINA DE GOIAS,NA,NA,NA,asphalt,service,50.27781942499089
TRAVESSA COLINA SAGRADA,NA,NA,NA,asphalt,residential,117.05663446001329
TRAVESSA COLORADO DO OESTE,NA,NA,NA,asphalt,residential,198.08845839570776
TRAVESSA COMENDADOR EUCLIDES BRANCATO,NA,NA,NA,asphalt,residential,50.58217889106471
TRAVESSA COMENDADOR SALVADOR MESSINA,NA,NA,NA,NA,service,48.387329327367794
TRAVESSA COMENDADOR STEFANO CHOFFI,NA,NA,NA,asphalt,residential,113.16989212254363
TRAVESSA COMERCIAL,NA,NA,NA,NA,service,143.14803232814955
TRAVESSA COMPANHEIRO FERNANDES,NA,NA,NA,NA,service,117.96324677178488
TRAVESSA COMPOSICAO,NA,NA,NA,asphalt,residential,62.35146409007735
TRAVESSA COMUNHAO,NA,NA,NA,NA,residential,48.74567168944061
TRAVESSA CONCHAS,NA,NA,NA,NA,service,81.7560097967612
TRAVESSA CONDE DO REFUGIO,NA,NA,NA,NA,service,300.59793738983933
TRAVESSA CONQUISTA,NA,NA,NA,NA,service,117.65169140015291
TRAVESSA CONSTANCIA MONETTI FERNANDES,NA,NA,NA,NA,service,48.341211076200615
TRAVESSA CONSTANCIO PORTA,NA,NA,NA,asphalt,residential,81.6032840818597
TRAVESSA CONSTANTINA,NA,NA,NA,asphalt,residential,115.41539203015816
TRAVESSA CONSTANTINO IZZO,NA,NA,NA,paved,residential,48.900352405562714
TRAVESSA CONSTELACAO DE ORION,NA,NA,NA,paved,service,60.76162380412283
TRAVESSA CONSTELACAO DO CISNE,NA,NA,NA,asphalt,residential,59.970749062803684
TRAVESSA CONSTELACAO DO CRUZEIRO,NA,NA,NA,NA,residential,45.383165801613025
TRAVESSA CONSUELO,NA,NA,NA,NA,residential,114.33205519705275
TRAVESSA CONTENDAS DO SINCORA,NA,NA,NA,asphalt,residential,36.34510686573575
TRAVESSA CONTRALTOS,NA,NA,NA,NA,service,44.380825169678864
TRAVESSA COR DE ROSA,1,NA,NA,asphalt,residential,57.2925872491564
TRAVESSA CORACAO,NA,NA,NA,NA,residential,199.66757693818533
TRAVESSA CORACAO SUBURBANO,NA,NA,NA,NA,residential,146.2185174391335
TRAVESSA CORDEIROS,NA,NA,NA,paved,residential,56.428024856949946
TRAVESSA CORINTIANS,NA,NA,yes,asphalt,residential,107.1573337960297
TRAVESSA CORONEL CABANAS,NA,NA,NA,NA,residential,225.411041507629
TRAVESSA CORONEL GONZAGA DE CARVALHO,NA,NA,no,asphalt,residential,66.46793310455628
TRAVESSA CORONEL HELIO BARBORA CALDAS,NA,NA,NA,paved,service,46.63053756570072
TRAVESSA CORONEL HILDA MACEDO,NA,NA,NA,NA,service,33.31267464737076
TRAVESSA CORONEL JOSE VENANCIO DIAS,NA,NA,NA,NA,service,171.942195798008
TRAVESSA CORONEL JULIAO DE MOURA NEGRAO,NA,NA,NA,NA,residential,89.80255949237517
TRAVESSA CORONEL PANFILO,NA,NA,NA,asphalt,residential,59.81868766515262
TRAVESSA CORONIDE,NA,NA,NA,asphalt,service,55.368689546082884
TRAVESSA CORREGO DANTA,NA,NA,NA,asphalt,residential,86.9880152907295
TRAVESSA CORREGO INDEPENDENCIA,NA,NA,NA,asphalt,residential,324.218628850429
TRAVESSA CORREIA DE AZEVEDO,NA,NA,NA,NA,service,69.35560852378616
TRAVESSA CORRENTE,NA,NA,NA,asphalt,residential,56.873381554410116
TRAVESSA CORRENTINOS,NA,NA,NA,asphalt,residential,252.76298458185826
TRAVESSA CORTES,NA,NA,NA,NA,service,27.852031289632645
TRAVESSA CORUJA DO CAMPO,NA,NA,NA,NA,residential,430.98087692489236
TRAVESSA CORUMBA DE GOIAS,NA,NA,NA,asphalt,residential,48.65807290263765
TRAVESSA CORUPA,NA,NA,NA,NA,residential,92.86299124318316
TRAVESSA CORURIPE,NA,NA,NA,NA,service,170.69186312387495
TRAVESSA COSMO GIOVANNI SCATONE,2,NA,NA,asphalt,residential,45.035705534842826
TRAVESSA COTIA,NA,NA,NA,NA,residential,27.929688918611934
TRAVESSA COTIARA,NA,NA,NA,asphalt,residential,51.34770990547264
TRAVESSA CRAVINADOSPOETAS,NA,NA,NA,paved,service,52.419739529663374
TRAVESSA CRAVIUNA,NA,NA,NA,NA,residential,148.66380690961375
TRAVESSA CRAVO AMARELO,NA,NA,NA,asphalt,residential,38.51023989877001
TRAVESSA CRAVO BEM TEMPERADO,NA,NA,NA,NA,residential,623.3472982600414
TRAVESSA CRAVO DIVINO,NA,NA,NA,NA,residential,241.57054100348557
TRAVESSA CREPUSCULO DO MAR,NA,NA,NA,NA,residential,70.77032872094082
TRAVESSA CREUZA PEREIRA DE SOUZA,NA,NA,NA,NA,service,78.08795602951145
TRAVESSA CRIACAO,NA,NA,NA,NA,service,27.44259594492139
TRAVESSA CRICIUMA,NA,NA,NA,NA,service,45.36547198133568
TRAVESSA CRISTALINA,NA,NA,NA,NA,service,43.48143005264607
TRAVESSA CRISTALINANTE,NA,NA,NA,asphalt,residential,157.73340006383324
TRAVESSA CRISTIANO DE TROYES,NA,NA,NA,NA,residential,152.0407836277188
TRAVESSA CRISTINA BIRAL,NA,NA,NA,NA,service,1233.8382554050584
TRAVESSA CRISTINA RUFFA,NA,NA,NA,asphalt,residential,222.23984676978392
TRAVESSA CRISTOVAO BARCELOS,NA,NA,NA,asphalt,service,46.78396442875912
TRAVESSA CRISTOVAO RUSSO,NA,NA,no,asphalt,residential,134.3963734137602
TRAVESSA CRUZ DAS ALMAS,NA,NA,NA,asphalt,service,66.8710220093135
TRAVESSA CRUZEIRO DO IGUACU,NA,NA,NA,asphalt,residential,52.51461339584525
TRAVESSA CUJUBI,NA,NA,NA,NA,residential,54.72723426336219
TRAVESSA CUMPARSITA,NA,NA,NA,NA,residential,111.77290830473761
TRAVESSA CUNHA JORGE,NA,NA,yes,NA,residential,107.74049403386917
TRAVESSA CURIO,NA,NA,NA,NA,residential,102.58398582982764
TRAVESSA CURVELO,NA,NA,NA,NA,residential,98.48365385061079
TRAVESSA CUSCO,NA,NA,NA,paved,residential,59.93316968492025
TRAVESSA CUSTODIO MESQUITA,NA,NA,NA,NA,residential,50.008621172384196
TRAVESSA CUTIAIA,NA,NA,NA,NA,residential,39.17781567611467
TRAVESSA D,NA,NA,NA,NA,residential,128.0354914435725
TRAVESSA DA AMIZADE,NA,NA,NA,NA,residential,70.24588418613887
TRAVESSA DA ANTIGORITA,NA,NA,NA,NA,residential,38.437797383108226
TRAVESSA DA ARTE VISUAL,NA,NA,NA,asphalt,service,53.519436782110894
TRAVESSA DA AVENIDA PLUTAO,NA,NA,NA,NA,residential,30.580277226105995
TRAVESSA DA BATATA,NA,NA,NA,NA,service,140.77799433054145
TRAVESSA DA BELA ADORMECIDA,NA,NA,NA,asphalt,service,31.367581633122075
TRAVESSA DA BICA,NA,NA,NA,NA,residential,137.45691700606136
TRAVESSA DA CANTATA MATINAL,NA,NA,NA,NA,service,61.86951916910238
TRAVESSA DA CANTATA VESPERAL,NA,NA,NA,NA,service,47.212618476546616
TRAVESSA DA CIENCIA,NA,NA,NA,NA,service,82.43264432022194
TRAVESSA DA COMUNIDADE,NA,NA,NA,NA,residential,101.19819302255488
TRAVESSA DA CONQUISTA,NA,NA,NA,concrete:plates,residential,194.8985392229584
TRAVESSA DA ESTRADA SETE CRUZES,NA,NA,NA,NA,residential,51.964879494770734
TRAVESSA DA ESTRELA FUGAZ,2,NA,NA,asphalt,residential,73.68667549200572
TRAVESSA DA ESTRELA GRANADA,1,NA,NA,asphalt,residential,71.06314167845214
TRAVESSA DA ESTRELA SIRIUS,1.67,NA,NA,asphalt,residential,97.7001228731606
TRAVESSA DA FELICIDADE,NA,NA,NA,NA,residential,187.05862801266846
TRAVESSA DA FIDELIDADE,NA,NA,NA,NA,service,60.435154440905755
TRAVESSA DA FLOR,NA,NA,NA,NA,service,28.928799865614504
TRAVESSA DA FONTE,NA,NA,NA,asphalt,residential,116.88402884298912
TRAVESSA DA IDADE MADURA,NA,NA,NA,NA,residential,61.79254853852491
TRAVESSA DA IGREJINHA,NA,NA,NA,asphalt,residential,152.18844562615632
TRAVESSA DA IMPRESA,NA,NA,NA,NA,residential,145.18631467938056
TRAVESSA DA INGAZEIRA,NA,NA,NA,NA,residential,73.87771750729654
TRAVESSA DA JUVENTUDE,NA,NA,NA,NA,residential,343.6664793981697
TRAVESSA DA LEVEZA,NA,NA,NA,asphalt,residential,153.9224835024232
TRAVESSA DA LIBERDADE,NA,NA,NA,NA,residential,86.18712307317682
TRAVESSA DA MONA LISA,NA,NA,yes,asphalt,residential,65.39356544565882
TRAVESSA DA OCUPACAO,NA,NA,NA,NA,service,42.76977175967903
TRAVESSA DA PAZ,NA,NA,NA,NA,service,631.2498562321425
TRAVESSA DA PROSPERIDADE,NA,NA,NA,NA,service,99.25120212902944
TRAVESSA DA REPLICA,NA,NA,NA,NA,residential,155.20976280476225
TRAVESSA DA RUA DA PAZ,NA,NA,NA,NA,service,61.593277700138046
TRAVESSA DA RUA DO CORREGO,NA,NA,NA,NA,service,66.25824679825898
TRAVESSA DA RUA JOSEPHA,NA,NA,NA,NA,residential,50.424855476318534
TRAVESSA DA RUA NAMIBIA,NA,NA,NA,NA,residential,59.83363670932708
TRAVESSA DA RUA PADRE BALTAZAR DUARTE,NA,NA,NA,NA,residential,24.16674177337654
TRAVESSA DA RUA SANTOS,NA,NA,NA,NA,service,19.345471643551658
TRAVESSA DA RUA VINHEDO,NA,NA,NA,NA,residential,38.36926026543946
TRAVESSA DA SAPOPEMBA,NA,NA,NA,NA,residential,127.99776396101804
TRAVESSA DA SAUDADE,NA,NA,NA,asphalt,residential,186.90535155838705
TRAVESSA DA SAUDE,NA,NA,NA,NA,residential,227.82675192299396
TRAVESSA DA SERVIDAO,NA,NA,NA,NA,residential,152.8621480183734
TRAVESSA DA SONORIDADE,NA,NA,NA,asphalt,residential,36.13744778715732
TRAVESSA DA TARDE,NA,NA,NA,asphalt,service,52.63466589533116
TRAVESSA DA TAUBA,NA,NA,NA,asphalt,residential,135.9285535741952
TRAVESSA DA TRANQUILIDADE,NA,NA,NA,asphalt,residential,50.98788100404325
TRAVESSA DA UNIAO,NA,NA,NA,asphalt,service,45.640662747768346
TRAVESSA DA UNIFICACAO,NA,NA,no,NA,residential,45.571236247384014
TRAVESSA DA USINA,NA,NA,NA,NA,residential,66.06198689753386
TRAVESSA DA VIRGEM,1,NA,NA,asphalt,residential,192.2576913180705
TRAVESSA DA VITORIA,NA,NA,NA,NA,service,226.41055039619687
TRAVESSA DAGMAR,NA,NA,NA,NA,service,57.05021925909435
TRAVESSA DAGOMAR DOMINGOS DEL NERO,NA,NA,NA,paved,residential,53.40418960950359
TRAVESSA DALVA DA SANTOS SANTANA,NA,NA,NA,NA,residential,123.32965941836504
TRAVESSA DAMIAO,NA,NA,NA,NA,residential,47.4315287651198
TRAVESSA DAMIAO DOURADO VIANA,NA,NA,NA,NA,residential,33.283762621150416
TRAVESSA DANCA DA CANOA,NA,NA,NA,asphalt,residential,194.82725336290716
TRAVESSA DANCA DA CRIOULA,NA,NA,NA,NA,residential,111.86974389485896
TRAVESSA DANCA DAS HORAS,NA,NA,NA,NA,residential,81.01741928141305
TRAVESSA DANCA DO CAVAQUINHO,NA,NA,yes,asphalt,residential,115.59856841942202
TRAVESSA DANCA DO MANJERICAO,NA,NA,NA,NA,residential,104.67355951834072
TRAVESSA DANCA DOS PAJES,NA,NA,no,asphalt,residential,83.32995397990679
TRAVESSA DANCAS CAIPIRAS,NA,NA,yes,asphalt,residential,169.7595422136468
TRAVESSA DANIEL AGRESTE,NA,NA,no,asphalt,residential,102.83539589192829
TRAVESSA DANIEL AYALA,NA,NA,NA,NA,residential,173.12526216683116
TRAVESSA DANIEL ESSERTIER,NA,NA,NA,NA,residential,119.94314118036482
TRAVESSA DANIEL MASON,NA,NA,NA,NA,residential,56.93301084511805
TRAVESSA DANIEL SILVEIRA MELLO,NA,NA,NA,NA,residential,67.55424832089818
TRAVESSA DANILO,NA,NA,NA,asphalt,residential,74.59058588991743
TRAVESSA DANSARINHO,NA,NA,yes,asphalt,residential,84.51498649068915
TRAVESSA DANTE MILANO,NA,NA,NA,NA,residential,49.10920628926932
TRAVESSA DARE,NA,NA,NA,asphalt,residential,56.57514361061858
TRAVESSA DARIO CASTELLO,NA,NA,NA,NA,residential,108.33655978385485
TRAVESSA DARIO JOSE DOS SANTOS,NA,NA,NA,NA,service,136.49292445716358
TRAVESSA DARTAGNAN,NA,NA,NA,NA,service,48.03006030211893
TRAVESSA DAS ACACIAS,NA,NA,NA,NA,service,46.826185727475966
TRAVESSA DAS ACACIAS LILASES,NA,NA,NA,NA,service,80.03429556280811
TRAVESSA DAS ADALIAS,NA,NA,NA,NA,service,123.5753773070933
TRAVESSA DAS AGUAS DURAS,NA,NA,NA,NA,residential,236.330497320532
TRAVESSA DAS ALIANCAS,NA,NA,NA,asphalt,residential,46.44120471739784
TRAVESSA DAS ARTEMSIAS,NA,NA,NA,asphalt,residential,63.99579086442744
TRAVESSA DAS AVES,NA,NA,NA,NA,residential,47.78073556694688
TRAVESSA DAS BANANEIRAS,NA,NA,NA,unpaved,residential,294.75453501189844
TRAVESSA DAS CARANDEIRAS,NA,NA,no,asphalt,residential,307.5749938809764
TRAVESSA DAS CIGARREIRAS,NA,NA,NA,NA,residential,279.04466788495216
TRAVESSA DAS CONSTELACOES,NA,NA,NA,asphalt,residential,8.491427607291497
TRAVESSA DAS DILENIAS,NA,NA,NA,NA,residential,260.68023131195685
TRAVESSA DAS ESTRELAS,NA,NA,NA,NA,residential,45.65152929055587
TRAVESSA DAS ESTRELAS BRANCAS,NA,NA,NA,NA,service,31.83934316192932
TRAVESSA DAS FIGUEIRAS,NA,NA,yes,asphalt,residential,69.74952273416037
TRAVESSA DAS FLORES,NA,NA,NA,asphalt,residential,174.21319320157886
TRAVESSA DAS FLORESTAS,NA,NA,NA,NA,unclassified,74.53149209396346
TRAVESSA DAS GERBERAS,NA,NA,NA,paved,residential,44.72978879367616
TRAVESSA DAS HORTENCIAS,NA,NA,NA,NA,service,247.8649927059874
TRAVESSA DAS HORTENCIAS ROXAS,NA,NA,NA,NA,service,80.88535882461721
TRAVESSA DAS IGREJA,NA,NA,NA,ground,residential,345.89052432173753
TRAVESSA DAS IRIDACEAS,NA,NA,NA,NA,service,56.576418106711685
TRAVESSA DAS LAURACEAS,NA,NA,NA,NA,service,54.106532104798745
TRAVESSA DAS LINFAS,NA,NA,NA,NA,residential,94.38208318329882
TRAVESSA DAS MARGARIDAS EM FLOR,NA,NA,no,asphalt,residential,214.6170785556555
TRAVESSA DAS MINAS,2,NA,yes,asphalt,tertiary,574.9133673512058
TRAVESSA DAS NACOES,1,NA,NA,NA,residential,71.9374729373545
TRAVESSA DAS OLEANDRAS,NA,NA,NA,asphalt,residential,120.24659474397832
TRAVESSA DAS OLIVEIRAS,NA,NA,NA,NA,service,66.07100146408746
TRAVESSA DAS ONDINAS,NA,40,NA,asphalt,residential,321.94567098582223
TRAVESSA DAS ORQUIDEAS,NA,NA,NA,NA,service,47.52381027804621
TRAVESSA DAS PALMEIRAS,NA,NA,NA,NA,residential,111.7911186991183
TRAVESSA DAS PALMEIRINHAS,NA,NA,NA,NA,residential,57.16894148644401
TRAVESSA DAS PAPOULA,NA,NA,NA,NA,service,119.9276818661042
TRAVESSA DAS PASTORINHAS,NA,NA,NA,NA,residential,40.60581650603571
TRAVESSA DAS PEDRAS,NA,NA,NA,NA,residential,52.25202183961148
TRAVESSA DAS POMBAS,NA,NA,NA,NA,residential,261.8445311221115
TRAVESSA DAS PONTES,NA,NA,NA,NA,residential,186.9965341271929
TRAVESSA DAS RESEDAS,NA,NA,NA,NA,residential,131.46362441913652
TRAVESSA DAS ROSAS,2,40,no,asphalt,residential,361.5604244146735
TRAVESSA DAS SENSITIVAS,NA,NA,NA,asphalt,residential,96.61711310983978
TRAVESSA DAS TULIPAS,NA,NA,NA,NA,service,46.846092610127656
TRAVESSA DAS TULIPAS HOLANDESAS,NA,NA,NA,NA,service,82.70426513112824
TRAVESSA DAS VERBENAS,NA,NA,NA,asphalt,residential,109.96532585990566
