logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
ALAMEDA CAMPESTRE,1.75,NA,no,asphalt,tertiary,996.7576791804438
ALAMEDA CAMPINAS,2.5,40,yes,asphalt,residential,2676.6415528924945
ALAMEDA CAMPOS DO JORDAO,NA,NA,no,NA,residential,265.897704018194
ALAMEDA CANUDO DE PITO,NA,NA,NA,NA,residential,429.1004673056857
ALAMEDA CANURI,NA,NA,no,asphalt,residential,193.95723850742002
ALAMEDA CARAJAS,NA,NA,NA,NA,residential,1029.5266967580842
ALAMEDA CARLOS MARCHAIS,2,NA,NA,asphalt,tertiary,641.2442307257243
ALAMEDA CASA BRANCA,2.5,40,yes,asphalt,residential,1754.4350312719648
ALAMEDA CASSAQUERA,2,NA,yes,NA,tertiary,1247.3934937384881
ALAMEDA CAULIM,1.5,40,yes,asphalt,residential,547.6317304790527
ALAMEDA CEARA,NA,NA,NA,NA,residential,309.74117568738563
ALAMEDA CLEVELAND,NA,NA,yes,asphalt,residential,648.3657422171485
ALAMEDA COLIBRI,NA,NA,NA,NA,residential,251.16340824393137
ALAMEDA COLLINA PARQUE DOS PRINCIPES,NA,20,NA,NA,residential,276.5802557017448
ALAMEDA CONDE DE PORTO ALEGRE,1.79,40,yes,asphalt,secondary,2379.2007463657724
ALAMEDA CONDOR,NA,NA,NA,NA,service,165.37149715033866
ALAMEDA COQUEIRO,NA,NA,NA,NA,residential,148.0024080564009
ALAMEDA COSTA RICA,NA,NA,no,NA,residential,218.45164303549313
ALAMEDA CRISTAL,NA,NA,NA,NA,residential,59.88042180068342
ALAMEDA DA BONDADE,NA,NA,yes,asphalt,residential,449.08618385626585
ALAMEDA DA CONQUISTA,NA,NA,NA,NA,residential,137.2071303655129
ALAMEDA DA IGUALDADE,NA,NA,NA,NA,residential,155.06985446840844
ALAMEDA DA JUSTICA,2,40,NA,asphalt,residential,206.18220621448674
ALAMEDA DA SAUDADE,NA,40,yes,asphalt,residential,858.6614541283077
ALAMEDA DA UNIAO,2,NA,NA,asphalt,residential,121.48220264056317
ALAMEDA DA UNIVERSIDADE,2,36.67,yes,asphalt,unclassified,1243.2685851449426
ALAMEDA DA VITORIA,NA,NA,NA,NA,residential,70.30136478357093
ALAMEDA DAS ACACIAS,NA,30,NA,cobblestone,residential,552.024403163284
ALAMEDA DAS AMEIXEIRAS,NA,NA,NA,NA,residential,647.4998409459934
ALAMEDA DAS AMOREIRAS,NA,NA,NA,asphalt,residential,160.79360474703307
ALAMEDA DAS ANDORINHAS,NA,NA,no,unpaved,residential,3465.0921982892432
ALAMEDA DAS ANGELICAS,NA,NA,NA,NA,residential,174.7903377397018
ALAMEDA DAS ARACAS,NA,10,NA,NA,service,334.7983489725696
ALAMEDA DAS ARAPONGAS,NA,NA,NA,unpaved,residential,426.4595977707547
ALAMEDA DAS ARARAS,NA,NA,NA,NA,residential,1101.9808816583472
ALAMEDA DAS AZALEIAS,NA,NA,no,asphalt,residential,1808.466279650545
ALAMEDA DAS BEGONIAS,NA,NA,NA,NA,residential,95.86672522280573
ALAMEDA DAS BONINAS,2.33,40,yes,asphalt,residential,470.53265032426344
ALAMEDA DAS CAROBINHAS,NA,NA,NA,asphalt,residential,153.8939319052699
